the_geom,cartodb_id,date_created_aest,spot_id,longitude,latitude,spot_name,spot_type,user_perspective,safe_category,unsafe_category,description,cycling_stress_rating,time_of_day,frequency,video_embed,rider_type,gender_description,submitter_name,image_attachment,no_of_comments,no_of_likes,activity,comment_1,comment_2,comment_3,comment_4,comment_5,comment_6,comment_7,comment_8,comment_9,comment_10,comment_11,comment_12,comment_13,comment_14,comment_15,comment_16,comment_17,comment_18
0101000020E6100000A8493A140F226240150F5AD533ED42C0,2813,2023-04-20 12:40:00+00,381121,145.0643407,-37.85314433,"Ferndale Park Trail,  Victoria",Unsafe Spot,cycling,N/A,Narrow,"Sharp, Narrow, blind corner under walkway that’s also unsealed and sometimes covered by leaves and overhanging branches",2,,once month,,very confident,,JCP,,1,1,2,Should be sealed,,,,,,,,,,,,,,,,,
0101000020E6100000B49080D1A5206240E102B78B3CE542C0,3076,2020-05-20 11:17:00+00,395176,145.0202415,-37.79091021,"Yarra Boulevard,  Victoria",Unsafe Spot,cycling,N/A,Narrow,Installation of central road islands have Narrowed the road forcing cars closer to cyclists. They should be removed.,1,anytime,fewtime week,,very confident,,Mark,,0,2,2,,,,,,,,,,,,,,,,,,
0101000020E6100000FA6B68B9A2206240A4371E64C0E942C0,3467,2020-04-20 13:51:00+00,379912,145.0198638,-37.82618381,"Yarra Boulevard,  Victoria",Unsafe Spot,cycling,N/A,No bicycle lanes,Getting from the road and on to Mail Yarra Trail Cycle way/shared path from swan st is very awkward,4,evening peak,fewtime week,,somewhat confident,,,,0,4,4,,,,,,,,,,,,,,,,,,
0101000020E6100000FC010F0CA0246240F3B2E4F925F242C0,3480,2021-04-20 09:39:00+00,380203,145.144537,-37.89178394,"Blackburn Rd,  Victoria",Unsafe Spot,cycling,N/A,No bicycle lanes,"All of Blackburn Road is not a pleasure to ride. No cycling lanes, lots of Trucks from and to the M1, poor driving behavior all along from Princess Highway up to ....",4,anytime,daily,,very confident,,,,1,0,1,Damien: trucks could be fixed by finishing the extension of westall rd to the M1 </dreams>,,,,,,,,,,,,,,,,,
0101000020E61000006F3A13E4B11B62403D8B941CE6E542C0,3513,2022-04-20 22:00:00+00,380869,144.8654652,-37.79608495,"Barkly Street,  Victoria",Unsafe Spot,cycling,N/A,No bicycle lanes,No lanes. ,3,anytime,fewtime week,,very confident,,Dana,,0,1,1,,,,,,,,,,,,,,,,,,
0101000020E6100000CB6A15585B1C624029C709B80CE942C0,3514,2022-04-20 22:05:00+00,380870,144.8861504,-37.82070065,"Francis Street,  Victoria",Unsafe Spot,cycling,N/A,No bicycle lanes,No lanes and fast driving cars/trucks ,4,anytime,daily,,very confident,,Dana,,1,1,2,"Paul G.: Trucks get way to close, Im talkingway less than 1m. I wont ride on Francis anymore.",,,,,,,,,,,,,,,,,
0101000020E610000090C01F7E7ECC614018A6DF53F32042C0,4049,2020-05-20 13:13:00+00,395668,142.390441,-36.25742577,"Werrigar Street, Warracknabeal Victoria",Unsafe Spot,cycling,N/A,No bicycle lanes,"located outside of 2-3 education precincts, and has no active travel links",3,morning peak,daily,,very confident,,Nicholas,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E6100000CE6850D9D5206240969526A520E842C0,4084,2021-05-20 09:17:00+00,396508,145.0261046,-37.81349625,"Elgin Street,  Victoria",Unsafe Spot,cycling,N/A,No bicycle lanes,No bikes lanes and always lots of traffic,4,not relevant,fewtime week,,very confident,,Dane,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E61000008736001B502462406B47B3AA8CE542C0,4496,2023-04-20 08:21:00+00,381005,145.1347785,-37.79335531,"Windella Quadrant,  Victoria",Unsafe Spot,cycling,N/A,Other,"Cycling ramp improvements desired, to assist transition from roadway to park pathway (kerb obstruction)",1,not relevant,once fortnight,,very confident,,JCP,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E6100000036B8B216F2162402F68842BDEF142C0,4786,2021-05-20 14:31:00+00,396727,145.0448158,-37.88959259,"Watson Grove,  Victoria",Unsafe Spot,cycling,N/A,Other,this bit is jsut really confusing with the trafic lights and people drive iraticly into the side street ,4,anytime,daily,,very confident,,,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E61000009E110077B41D62406FDFDDA904D442C0,5064,2020-04-20 04:00:00+00,379835,144.9282794,-37.65639232,"Longford Crescent,  Victoria",Unsafe Spot,cycling,N/A,Poor driver behaviour,Chicanes Narrow the ride and impatient drivers try to squeeze past bike riders.,2,anytime,once month,,very confident,,Bugster,,1,0,1,Bugster: ^ road ,,,,,,,,,,,,,,,,,
0101000020E610000046578E35C80A6240D1E339534F1443C0,5615,2021-04-20 14:23:00+00,380322,144.3369396,-38.15867081,"West Fyans St, Geelong Victoria",Unsafe Spot,cycling,N/A,Poor surface,Lots of uneven surfaces in the bike lane which leads to riders needing to travel in and out of the lane.,2,late morning,once week,,very confident,,David,,1,0,1,Daniel Keane: Yes I agree,,,,,,,,,,,,,,,,,
0101000020E6100000FCB5AB46E51F6240B5693204FCE342C0,6620,2021-04-20 14:30:00+00,380342,144.9967378,-37.78112843,"Westgarth Street,  Victoria",Unsafe Spot,cycling,N/A,Unsafe bicycle lanes,"The bike lane on the south-east side of this intersection (if riding from east to west along Westgarth) is just awkward as car drivers who are turning left, to head south on High St, are in the way (and vice versa)...it is just awkward.",3,anytime,fewtime week,,very confident,,Karl,,0,6,6,,,,,,,,,,,,,,,,,,
0101000020E61000000E107118B11E6240E217A8D60CE542C0,6646,2023-04-20 23:20:00+00,381325,144.9591181,-37.7894543,"Royal Parade, Melbourne Victoria",Unsafe Spot,cycling,N/A,Unsafe bicycle lanes,"Bike lane, pedestrian traffic and cars meet.",4,,fewtime week,,,,,,0,3,3,,,,,,,,,,,,,,,,,,
0101000020E6100000B33973B4CF1D624056AE9E30B4E542C0,763,2021-04-20 14:24:00+00,380327,144.9316046,-37.79456146,"Macaulay Road, Melbourne Victoria",Unsafe Spot,cycling,N/A,Car dooring,Very busy road with people not looking out for cyclists,4,morning peak,daily,,somewhat confident,,,,1,3,4,"Emily: This road gets so busy during peak hours and especially when the boom gates come down. Drivers get impatient and drive into the bike lane to overtake the traffic to turn off down side streets. I've had many near misses when the driver hasn't bothered to look. The road is on an incline so it can be difficult to stop in time, even if you see the driver pulling into your path. ",,,,,,,,,,,,,,,,,
0101000020E6100000BDB7335DD91F624033C645BD79E442C0,1229,2021-04-20 09:24:00+00,380195,144.9952837,-37.78496519,"Bridge along Queens Parade, over the Merri Creek,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,Have to rely on cars slowing down and moving over to pass you if they're in the left lane.,4,anytime,once fortnight,,very confident,,,,1,6,7,Jane : So dangerous in this area for cyclists both directions ,,,,,,,,,,,,,,,,,
0101000020E6100000ABD09BE58D2162408F2AB3D60AF142C0,3509,2022-04-20 14:06:00+00,380743,145.0485714,-37.88314327,Rihel Bhowmick,Unsafe Spot,cycling,N/A,No bicycle lanes,"No bicycle lane, too much traffic and broken Narrow footpath",2,anytime,daily,,,,Rihel Bhowmick,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E6100000C78B3B94971B624094C7AA7352E642C0,1901,2020-04-20 09:54:00+00,379878,144.8622533,-37.79939123,"Sunshine Road,  Victoria",Unsafe Spot,cycling,N/A,Dangerous intersection,Dangerous intersection - dangerous slip lane - cars don't look for pedestrians or bikes - they are only focused on entering between vehicle traffic on Sunshine Rd. Beg button to cross should be automated - this is a significant active transport crossing point to get to the train station and the bike track north of the train line. ,1,,daily,,somewhat confident,,E.J,,0,8,8,,,,,,,,,,,,,,,,,,
0101000020E610000029F686B13B2662403D732035370943C0,1917,2021-04-20 11:17:00+00,380248,145.1947868,-38.0719973,"Thompson Road,  Victoria",Unsafe Spot,cycling,N/A,Dangerous intersection,"Bike Path Ends, Have to merge into road with traffic and trucks travelling 90km.
No safe way to continue on to bike path along Thompsons Road.",4,anytime,never,,somewhat confident,,Nick,https://crowdspot-attachments.s3.amazonaws.com/attachments/spot-380248-RwkgI34.jpg,0,3,3,,,,,,,,,,,,,,,,,,
0101000020E6100000433BA7592020624051CE40FA60EA42C0,1929,2021-04-20 22:17:00+00,380548,145.003949,-37.83108452,"Capital City Trail Main Yarra Trail,  Victoria",Unsafe Spot,cycling,N/A,Dangerous intersection,Blind corner to the right when joining onto the capital city trail. Can’t see any cyclists coming round the corner and there are often cyclists tearing around the corner at pace. The only way to get onto the trail is to chance it and pray no one is coming round! ,4,anytime,once week,,somewhat confident,,Michelle,,0,3,3,,,,,,,,,,,,,,,,,,
0101000020E6100000AC61759AFB1D6240BFA2B6685CE442C0,2412,2020-05-20 17:16:00+00,395989,144.9369633,-37.7840701,"1 Mount Alexander Road,  Victoria",Unsafe Spot,cycling,N/A,Dangerous intersection,.,4,anytime,daily,,very confident,,,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E6100000FC60CF8D1F216240B5F7908D93EF42C0,2413,2020-05-20 18:01:00+00,396044,145.0351018,-37.87169046,"Normanby Road,  Victoria underpass",Unsafe Spot,cycling,N/A,Dangerous intersection,Cars often drive into the bike lane to go around banked up traffic turning right into the underpass towards dandenong rd.,2,morning peak,fewtime week,,does not apply,,Natasha,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E6100000EE87E98CB91F624047E67031AFEA42C0,2801,2022-04-20 13:30:00+00,380732,144.9914002,-37.83347147,"Main Yarra Trail,  Victoria",Unsafe Spot,cycling,N/A,Narrow,"There is a large volume of traffic including pedestrians joggers and cyclists all moving at different speeds in a very Narrow section of path. This section is heavily used, all the way through to the city, and is simply too Narrow to allow for safe passage. The lane needs to be duplicated so there are two lanes in each direction, preferably separating pedestrians from cyclist.",3,morning peak,daily,,very confident,,CH,,1,8,9,Dion E: Too Narrow for all of the above reasons,,,,,,,,,,,,,,,,,
0101000020E6100000634D1BC4BD1E62401E085E67A2E242C0,2804,2022-04-20 20:18:00+00,380863,144.9606648,-37.77058117,"Saxon Street,  Victoriasa",Unsafe Spot,cycling,N/A,Narrow,There is a gate across the road here which forces cyclists onto the footpath. Bollards would permit cyclists to pass through safely without interfering with pedestrians ,2,afternoon,daily,,very confident,,Christian ,,0,2,2,,,,,,,,,,,,,,,,,,
0101000020E6100000E271F6736F0A6240C7681D55CD1543C0,3099,2021-05-20 14:35:00+00,396732,144.3261051,-38.17032875,"Barrabool Road, Geelong Victoria",Unsafe Spot,cycling,N/A,Narrow,Not enough room with parked cars,4,evening peak,daily,,very confident,,Steve,,0,2,2,,,,,,,,,,,,,,,,,,
0101000020E6100000FEB62748EC196240438FD620E5ED42C0,3470,2020-04-20 19:10:00+00,380015,144.810093,-37.85855494,"Maidstone Street,  Victoria",Unsafe Spot,cycling,N/A,No bicycle lanes,"In this street there many freight companies, so, there many trucks and No bicycle lanes . Otherwise I would to my office in my bicycle. ",4,morning peak,never,,very confident,,,,0,2,2,,,,,,,,,,,,,,,,,,
0101000020E61000007FFB3A70CE1E6240D5D3818B19E842C0,3515,2023-04-20 04:51:00+00,380928,144.9627,-37.81327957,"Elizabeth Street, Melbourne Victoria",Unsafe Spot,cycling,N/A,No bicycle lanes,"This street gets Narrow and there is no bike lane. It's unsafe for bikes, especially in rush hours.",4,anytime,daily,,very confident,,Jawad Khan,,0,6,6,,,,,,,,,,,,,,,,,,
0101000020E6100000775E74C3402C624050BBA992120743C0,3519,2023-04-20 10:11:00+00,381063,145.3829057,-38.0552543,"Princes Highway, Officer Victoria",Unsafe Spot,cycling,N/A,No bicycle lanes,"No lanes, surface is rough and no easy right turn towards beaconsfield, need to cross two lanes of traffic",4,anytime,once week,,very confident,,Phillip Dockley,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E6100000DD0A6135961B6240711FDA4352E642C0,4073,2020-05-20 18:33:00+00,396093,144.862086,-37.79938553,"Sunshine Road / Ashley St,  Victoria",Unsafe Spot,cycling,N/A,No bicycle lanes,"There are very few places for people to cross this rail corridor (West Footscray & dangerous roads in Sunshine and or a ""get off and walk"" at Sunshine station",4,anytime,never,,very confident,,Richard,,0,1,1,,,,,,,,,,,,,,,,,,
0101000020E61000004E226706D61F62403E8A84002AE542C0,4090,2021-05-20 11:22:00+00,396564,144.9948761,-37.7903443,"Hoddle Street,  Victoria",Unsafe Spot,cycling,N/A,No bicycle lanes,"Southbound bike lane disappears after Ramsden St, then returns after Parslow St.  Forces bikes into fast (or stopped) traffic, or onto footpath.",3,morning peak,daily,,very confident,,Steve,,0,2,2,,,,,,,,,,,,,,,,,,
0101000020E61000004241295A39216240C86361E3D5EF42C0,4106,2021-05-20 16:41:00+00,396883,145.038251,-37.87371485,"Princes Highway,  Victoria",Unsafe Spot,cycling,N/A,No bicycle lanes,Difficult to safely cross the Princes Hwy to get to Tooronga road,3,anytime,fewtime week,,very confident,,LT,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E6100000F68480D7C21E6240BB81C0D212E142C0,4491,2021-04-20 15:06:00+00,380370,144.9612844,-37.75838694,"Upfield Bike Path,  Victoria",Unsafe Spot,cycling,N/A,Other,No Lighting! Feels very unsafe at night.,4,late night,once fortnight,,interested concerned,,bel,,1,2,3,Andrew: Way too dark. Very hard to see pedestrians (and idiot cyclists with no lights),,,,,,,,,,,,,,,,,
0101000020E610000089AF1B5BF4206240AEC9437442EB42C0,4504,2023-04-20 12:51:00+00,381138,145.0298286,-37.83796552,"Gardiners Creek Trail,  Victoria",Unsafe Spot,cycling,N/A,Other,"poor lighting. lights should be on sensors for the limited light during the day. runners and cyclists in dark clothes are hard to see, especially when riders are wearing sunglasses to protect eyes. ",3,anytime,fewtime week,,very confident,,Ben Thomson,,0,5,5,,,,,,,,,,,,,,,,,,
0101000020E6100000F482F4B97F2662400A89EE38C9E542C0,4505,2023-04-20 13:23:00+00,381177,145.2030916,-37.79520332,"Mullum Mullum Creek Path, Warrandyte South Victoria",Unsafe Spot,cycling,N/A,Other,Improved signage required to indicate where trail resumes after road crossing,1,not relevant,once month,,very confident,,JCP,,0,3,3,,,,,,,,,,,,,,,,,,
0101000020E6100000446FF1F05E266240F1D28F7EE2E442C0,4506,2023-04-20 13:24:00+00,381178,145.1990895,-37.78816206,"Mullum Mullum Creek Trail, Warrandyte South Victoria",Unsafe Spot,cycling,N/A,Other,Improved signage required to indicate where trail resumes after road crossing,1,not relevant,once month,,very confident,,JCP,,0,3,3,,,,,,,,,,,,,,,,,,
0101000020E61000000B86298018266240273A05D84BE342C0,4507,2023-04-20 13:26:00+00,381179,145.1904908,-37.77575207,"Mullum Mullum Creek Trail, Warrandyte South Victoria",Unsafe Spot,cycling,N/A,Other,Improved signage required to indicate where trail resumes after road crossing,1,not relevant,once month,,very confident,,JCP,,0,3,3,,,,,,,,,,,,,,,,,,
0101000020E6100000675F1ED76B2362403439087C76DD42C0,4761,2020-05-20 13:07:00+00,395641,145.1069141,-37.73017836,Peter De Fazio,Unsafe Spot,cycling,N/A,Other,It's a blind corner and very Narrow. Have nearly had head on collisions with other cyclists.,3,evening peak,fewtime week,,very confident,,Peter,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E6100000F5955176C41E62402878F11BB2E742C0,4769,2020-05-20 15:29:00+00,395910,144.9614822,-37.81012296,"366 Elizabeth Street, Melbourne Victoria",Unsafe Spot,cycling,N/A,Other,"Pedestrians frequently stand in the bike lane while waiting for the lights to change, blocking the bike path. ",2,evening peak,fewtime week,,very confident,,Kate,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E6100000BD5C1F31D512624063ECC6B332D742C0,4803,2022-05-20 18:15:00+00,397641,144.5885244,-37.68123481,"Raleigh Road, Melton Victoria",Unsafe Spot,cycling,N/A,Other,"Unclear for less experienced riders, have to be very alert about which car is turning/coming.",1,anytime,fewtime week,,very confident,,,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E61000007678BE554D1E6240FD82DDB0EDE942C0,5379,2021-05-20 09:02:00+00,396504,144.9469403,-37.82756625,"Montague Street,  Victoria",Unsafe Spot,cycling,N/A,Poor driver behaviour,people have to cross over the bike lane to get on freeway.,4,anytime,fewtime week,,very confident,,,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E6100000C9F43A98831F62405B251600FCF342C0,5611,2020-04-20 14:36:00+00,379922,144.9848138,-37.90612794,"Bay Trail,  Victoria",Unsafe Spot,cycling,N/A,Poor surface,Damaged and raised pavement ,2,not relevant,fewtime week,,somewhat confident,,lachlan,,0,2,2,,,,,,,,,,,,,,,,,,
0101000020E610000065F8F47D9D1F62403AD893A7C9E242C0,5883,2020-05-20 13:50:00+00,395759,144.9879751,-37.77177901,"Sumner Avenue,  Victoria",Unsafe Spot,cycling,N/A,Poor surface,Can be very muddy and uneven here,1,anytime,daily,,,,Sophie,,0,2,2,,,,,,,,,,,,,,,,,,
0101000020E6100000B709F7CA7C22624066AABB0D45E142C0,6305,2022-04-20 19:42:00+00,380851,145.0777335,-37.75991985,"Banksia Street Bridge,  Victoria",Unsafe Spot,cycling,N/A,Traffic speed,The existing path is too Narrow and too close to fast moving vehicle traffic. A separate walking/cycling bridge across the river that connected to nearby existing pedestrian and cycling paths would eliminate the danger of being so close to high-speed vehicle traffic.,4,anytime,fewtime week,,very confident,,Andy,,0,4,4,,,,,,,,,,,,,,,,,,
0101000020E61000006BBD3A223A1F6240F00F21CF2AEB42C0,6612,2021-04-20 08:34:00+00,380186,144.9758464,-37.83724393,"St Kilda Road,  Victoria",Unsafe Spot,cycling,N/A,Unsafe bicycle lanes,"Bike lane is in between car lanes and car drivers are changing/joining lanes without consideration for cyclist. Bike lane should be off the road here.
",4,anytime,daily,,very confident,,,,0,7,7,,,,,,,,,,,,,,,,,,
0101000020E610000058D00F7E7D256240C384B09E03E842C0,6638,2023-04-20 09:42:00+00,381033,145.1715689,-37.81261047,"Springfield road,  Victoria",Unsafe Spot,cycling,N/A,Unsafe bicycle lanes,cars are permanently parked along Springfield road requiring for riders to move into traffic whenever there is a parked car. This a public road and not a private car park,4,anytime,fewtime week,,interested concerned,,,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E610000005C1E3DBFB22624081E694FC5FF242C0,6965,2021-05-20 21:28:00+00,397127,145.0932445,-37.89355428,"Princes Highway,  Victoria",Unsafe Spot,cycling,N/A,Unsafe bicycle lanes,intersection lights bike is too long and path is too short,3,,fewtime week,,,,kevin,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E6100000331B6492911F62404D9CA24447E242C0,3073,2020-05-20 05:01:00+00,395028,144.98652,-37.76779993,"Arthurton Road,  Victoria",Unsafe Spot,cycling,N/A,Narrow,I had an accident here ,3,anytime,daily,,very confident,,,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E61000006B6C6578E2246240AD5D8728AEF942C0,772,2022-04-20 19:03:00+00,380823,145.1526453,-37.95062739,"Springvale Road,  Victoria",Unsafe Spot,cycling,N/A,Car dooring,A lot of close calls from being doored along the shopping strip as car drivers swing their doors open without looking first. A cycle lane is needed,4,anytime,fewtime week,,very confident,,,,0,1,1,,,,,,,,,,,,,,,,,,
0101000020E6100000BBB31B22D31F6240C11E8FF028EC42C0,773,2023-04-20 05:41:00+00,380930,144.9945231,-37.84499938,"Chapel Street,  Victoria",Unsafe Spot,cycling,N/A,Car dooring,Pedestrians think bicycle lanes are for them to walk along and drivers seem to think it's an extra wide space for their parked car,3,anytime,fewtime week,,very confident,,Ben,,0,11,11,,,,,,,,,,,,,,,,,,
0101000020E610000088670932421F6240BBD573D27BEB42C0,757,2020-04-20 13:52:00+00,379913,144.9768305,-37.83971625,"St Kilda Road, Melbourne Victoria",Unsafe Spot,cycling,N/A,Car dooring,Drivers don’t look for coming riders. Also cars take immediate sudden stops to get a car park.,1,evening peak,daily,,very confident,,Carlos,,0,4,4,,,,,,,,,,,,,,,,,,
0101000020E6100000AB7D95D76521624021105CA36DE942C0,758,2020-04-20 21:05:00+00,380041,145.0436819,-37.82365839,"Burwood Road,  Victoria",Unsafe Spot,cycling,N/A,Car dooring,"Many parked cars leading cyclists into main lane. In turn, this appears to frustrate some drivers ",4,anytime,fewtime week,,very confident,,,,1,1,2,Nathan: Also very Poor surface in bike lane,,,,,,,,,,,,,,,,,
0101000020E6100000A247E757CE2162400B191BFCF5E942C0,759,2020-04-20 21:59:00+00,380070,145.0564384,-37.82781936,"Burke Road, Camberwell, Victoria",Unsafe Spot,cycling,N/A,Car dooring,.,2,evening peak,daily,,very confident,,,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E61000004620031EBD1E624085C1EBE959E342C0,760,2021-04-20 10:41:00+00,380225,144.9605856,-37.77618145,"276 Barkly Street,  Victoria",Unsafe Spot,cycling,N/A,Car dooring,"Tram stop, intersection, Narrow cycling space between trams and parked cars",4,evening peak,daily,,very confident,,EB,,0,12,12,,,,,,,,,,,,,,,,,,
0101000020E6100000F9E17BDABC1E6240BBDBCC5363E342C0,761,2021-04-20 10:42:00+00,380230,144.9605534,-37.77646873,"Sydney Road,  Victoria",Unsafe Spot,cycling,N/A,Car dooring,"Tram lines, intersection, Narrow cycling space between trams and parked cars",4,evening peak,daily,,very confident,,EB,,2,11,13,"Janine Tickle: Sydney Road Brunswick is one of the most unsafe places to ride, despite the high local population of bike riders. This road could be so much better for all road users and pedestrians. ",Tara: Agree. Sydney Rd kills cyclists and it needs to change,,,,,,,,,,,,,,,,
